UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Air temperature [K]_rolling_mean,Air temperature [K]_rolling_std,Process temperature [K]_rolling_mean,Process temperature [K]_rolling_std,Rotational speed [rpm]_rolling_mean,Rotational speed [rpm]_rolling_std,Torque [Nm]_rolling_mean,Torque [Nm]_rolling_std,Tool wear [min]_rolling_mean,Tool wear [min]_rolling_std,Air temperature [K]_lag_1,Air temperature [K]_lag_3,Air temperature [K]_lag_5,Process temperature [K]_lag_1,Process temperature [K]_lag_3,Process temperature [K]_lag_5,Rotational speed [rpm]_lag_1,Rotational speed [rpm]_lag_3,Rotational speed [rpm]_lag_5,Torque [Nm]_lag_1,Torque [Nm]_lag_3,Torque [Nm]_lag_5,Tool wear [min]_lag_1,Tool wear [min]_lag_3,Tool wear [min]_lag_5,torque_speed_interaction,failure_label
232,L47411,L,-0.8523973761276875,-1.0821616589285121,-0.7294715051501508,0.312294750072398,1.0848068249682883,0,No Failure,298.3,0.0,308.5,0.07071067811429171,1536.8,80.93021685378054,36.66,4.041410644811969,172.6,3.6469165057618507,298.3,298.3,298.3,308.6,308.5,308.4,1570.0,1629.0,1329.0,34.8,37.1,49.2,175.0,170.0,166.0,60684.8,0
233,L47412,L,-0.9023934097553371,-1.0821616589285121,-0.6402232091510928,0.7637196607964014,1.116228187333226,0,No Failure,298.28,0.04472135955370815,308.48,0.08366600264959308,1513.8,95.22709698399895,38.96,6.289912559010634,174.8,3.4928498393143412,298.3,298.3,298.3,308.4,308.5,308.5,1408.0,1538.0,1539.0,43.1,32.2,36.1,177.0,173.0,168.0,67782.40000000001,0
234,L47413,L,-0.9023934097553371,-1.0821616589285121,-0.1493575811562738,-0.5103017539135641,1.1476495496981636,0,No Failure,298.26,0.05477225575362324,308.46,0.08944271909630765,1490.4,71.18145825985823,38.519999999999996,6.525105363133968,177.0,3.1622776601680953,298.2,298.3,298.3,308.4,308.6,308.5,1424.0,1570.0,1629.0,47.6,34.8,37.1,179.0,175.0,170.0,52768.799999999996,0
235,L47414,L,-0.9023934097553371,-1.0821616589285121,-0.339010210154272,0.2922314207068864,1.179070912063101,0,No Failure,298.24,0.05477225575370367,308.44,0.08944271909619483,1478.4,66.02120871356372,40.66,5.626988537397236,179.0,3.1622776601680953,298.2,298.3,298.3,308.4,308.4,308.5,1512.0,1408.0,1538.0,34.9,43.1,32.2,181.0,177.0,173.0,63406.2,0
236,M15095,M,-0.9523894433829583,-1.149562544534041,0.7877495268338351,-0.6306817301066312,1.2104922744280389,0,No Failure,298.2,0.07071067812125396,308.38,0.04472135954171718,1500.4,108.70510567586024,40.44,5.926887884885274,181.0,3.1622776601680953,298.2,298.2,298.3,308.4,308.4,308.6,1478.0,1424.0,1570.0,42.9,47.6,34.8,183.0,179.0,175.0,56616.00000000001,0
237,L47416,L,-0.9523894433829583,-1.149562544534041,-0.2441838956552729,-0.12909849596884967,1.2576243179754452,0,No Failure,298.15999999999997,0.054772255754072095,308.36,0.054772255743573854,1517.8,96.49455943212517,39.56,5.757429982205581,183.2,3.4928498393143412,298.1,298.2,298.3,308.3,308.4,308.4,1680.0,1512.0,1408.0,33.7,34.9,43.1,185.0,181.0,177.0,57856.50000000001,0
238,M15097,M,-1.0023854770106078,-1.2843643157451365,0.0737631588413712,-0.33976345430671806,1.2890456803403827,0,No Failure,298.12,0.08366600265588361,308.3,0.12247448713580766,1543.4,81.14678058925035,37.36,3.6232582022262116,185.4,3.6469165057618507,298.1,298.2,298.2,308.3,308.4,308.4,1495.0,1478.0,1424.0,38.7,42.9,47.6,188.0,183.0,179.0,56803.200000000004,0
239,L47418,L,-1.0523815106382575,-1.2843643157451365,-0.8131417826492676,1.034574607230803,1.3361777238877892,0,No Failure,298.06,0.1140175425118985,308.24,0.13416407864671104,1519.6,106.23229264211487,40.440000000000005,6.451201438491891,187.8,3.9623225512315625,298.0,298.1,298.2,308.1,308.3,308.4,1552.0,1680.0,1512.0,36.6,33.7,34.9,190.0,185.0,181.0,70067.9,0
240,L47419,L,-1.0023854770106078,-1.216963430139608,0.4028662503378976,-0.9416633352720559,1.3675990862527267,0,No Failure,298.02,0.08366600265626366,308.2,0.09999999999542412,1546.2,109.80300542334865,37.980000000000004,7.533060467034602,190.2,3.9623225512315625,297.9,298.1,298.2,308.1,308.3,308.4,1393.0,1495.0,1478.0,50.3,38.7,42.9,193.0,188.0,183.0,49296.600000000006,0
241,M15100,M,-1.0023854770106078,-1.2843643157451365,-1.1143547816460884,1.1649862481066267,1.3990204486176645,0,No Failure,298.0,0.07071067812212217,308.16,0.08944271909466794,1478.0,111.8033988749892,41.559999999999995,9.084217082390756,192.6,3.6469165057618507,298.0,298.0,298.1,308.2,308.1,308.3,1611.0,1552.0,1680.0,30.6,36.6,33.7,195.0,190.0,185.0,69092.40000000001,0
242,L47421,L,-1.0023854770106078,-1.2843643157451365,1.3288173213281242,-1.5736582102856609,1.4461524921650708,0,No Failure,297.97999999999996,0.04472135955562349,308.12,0.044721359538926364,1534.4,175.50441589885972,38.68,12.024433458587545,195.0,3.8078865529317225,298.0,297.9,298.1,308.1,308.1,308.3,1339.0,1393.0,1495.0,51.6,50.3,38.7,197.0,193.0,188.0,43181.1,0
243,L47422,L,-1.0023854770106078,-1.216963430139608,-1.0641526151466183,1.8872661052650317,1.4775738545300083,1,Overstrain Failure,297.97999999999996,0.04472135955562349,308.14,0.05477225574164023,1493.6,193.20921303084882,43.120000000000005,14.834655371797492,197.4,3.6469165057618507,298.0,298.0,298.0,308.1,308.2,308.1,1777.0,1611.0,1552.0,24.3,30.6,36.6,200.0,195.0,190.0,79262.4,1
244,L47423,L,-1.0023854770106078,-1.216963430139608,-0.5398188761521525,0.4126113968999543,1.508995216894946,0,No Failure,298.0,0.0,308.16,0.05477225574181276,1503.4,188.00345741501653,41.88,14.3351665494336,199.6,3.6469165057618507,298.0,298.0,297.9,308.2,308.1,308.1,1348.0,1339.0,1393.0,58.8,51.6,50.3,202.0,197.0,193.0,63592.200000000004,0
245,M15104,M,-1.0023854770106078,-1.216963430139608,-0.8019857456493854,0.9141946310377358,1.5404165792598836,0,No Failure,298.0,0.0,308.15999999999997,0.05477225574181276,1460.2,181.81226581284315,45.58,13.023325228220347,201.8,3.4928498393143412,298.0,298.0,298.0,308.2,308.1,308.2,1442.0,1777.0,1611.0,44.1,24.3,30.6,204.0,200.0,195.0,68494.5,0
246,M15105,M,-1.0523815106382575,-1.2843643157451365,0.49211454633695556,-0.8614100178100111,1.58754862280729,0,No Failure,297.98,0.04472135955565208,308.15999999999997,0.05477225574181276,1517.8,179.42045591291964,41.540000000000006,13.799021704454269,204.2,3.4928498393143412,298.0,298.0,298.0,308.2,308.2,308.1,1395.0,1348.0,1339.0,49.1,58.8,51.6,206.0,202.0,197.0,51087.799999999996,0
247,L47426,L,-1.0523815106382575,-1.2843643157451365,0.2578377693394283,-0.6507450594721428,1.6346806663546964,0,No Failure,297.96,0.054772255755314234,308.15999999999997,0.05477225574181276,1479.4,121.16641448850392,43.38,11.315343565265717,206.6,3.974921382870137,297.9,298.0,298.0,308.1,308.2,308.1,1627.0,1442.0,1777.0,31.4,44.1,24.3,209.0,204.0,200.0,53097.5,0
248,L47427,L,-1.0023854770106078,-1.216963430139608,-0.38921237665374214,0.5530547024585329,1.666102028719634,0,No Failure,297.96,0.054772255755314234,308.15999999999997,0.05477225574181276,1503.6,98.28428155101876,40.720000000000006,7.8020510123941085,209.0,4.123105625617448,297.9,298.0,298.0,308.1,308.2,308.2,1585.0,1395.0,1348.0,33.5,49.1,58.8,212.0,206.0,202.0,66839.5,0
249,L47428,L,-1.0023854770106078,-1.149562544534041,-0.9860603561474425,1.686632811609919,1.6975233910845717,1,Overstrain Failure,297.96,0.054772255755314234,308.17999999999995,0.08366600264783251,1487.6,115.77478136450927,43.26,10.704812002085802,211.4,3.974921382870137,298.0,297.9,298.0,308.2,308.1,308.2,1469.0,1627.0,1442.0,45.5,31.4,44.1,214.0,209.0,204.0,77361.59999999999,1
250,L47429,L,-1.0023854770106078,-1.149562544534041,-0.7462055606499741,1.6264428235133859,1.7289447534495093,1,Overstrain Failure,297.96,0.054772255755314234,308.2,0.09999999999544118,1489.6,113.84550935368476,44.68,12.058482491590741,213.8,3.4928498393143412,298.0,297.9,298.0,308.3,308.1,308.2,1362.0,1585.0,1395.0,56.8,33.5,49.1,216.0,212.0,206.0,78961.0,1
251,L47430,L,-1.0023854770106078,-1.149562544534041,0.6873451938348949,-0.7309983769341876,-1.6959837443286896,0,No Failure,297.97999999999996,0.04472135955565208,308.24,0.08944271909514419,1496.6,124.94118616373035,44.94,11.70952603652259,172.0,96.17692030835671,298.0,298.0,297.9,308.3,308.2,308.1,1405.0,1469.0,1627.0,56.2,45.5,31.4,218.0,214.0,209.0,54347.4,0
252,M15111,M,-1.0023854770106078,-1.216963430139608,-0.4059464321535655,0.2621364266586198,-1.6645623819637518,0,No Failure,298.0,0.0,308.26000000000005,0.054772255742827215,1472.8,114.8159396599615,46.760000000000005,10.08082337906982,130.0,117.77096416349829,298.0,298.0,297.9,308.3,308.3,308.1,1662.0,1362.0,1585.0,32.7,56.8,33.5,0.0,216.0,212.0,62451.6,0
253,L47432,L,-1.0023854770106078,-1.216963430139608,0.4530684168373677,-0.42001677176876356,-1.6174303384163455,0,No Failure,298.0,0.0,308.26,0.054772255742827215,1503.0,132.12115651930966,44.82,11.249533323653937,88.2,117.59336715988704,298.0,298.0,298.0,308.2,308.3,308.2,1466.0,1405.0,1469.0,42.6,56.2,45.5,2.0,218.0,214.0,57995.99999999999,0
254,L47433,L,-1.0023854770106078,-1.216963430139608,-1.0139504486471482,0.8239096488929353,-1.5860089760514078,0,No Failure,298.0,0.0,308.24,0.05477225574261965,1502.0,133.46722444105865,43.1,9.477868958790271,46.4,95.96509782207279,298.0,298.0,298.0,308.2,308.3,308.3,1620.0,1662.0,1362.0,35.8,32.7,56.8,5.0,0.0,216.0,65407.4,0
255,L47434,L,-1.0023854770106078,-1.216963430139608,-0.13820154415639155,-0.20935181343089515,-1.5545876136864702,0,No Failure,298.0,0.0,308.22,0.04472135954007586,1523.8,122.07866316437087,39.44,6.078075353267649,4.6,3.646916505762094,298.0,298.0,298.0,308.2,308.2,308.3,1357.0,1466.0,1405.0,48.2,42.6,56.2,7.0,2.0,218.0,57380.6,0
256,L47435,L,-1.0023854770106078,-1.216963430139608,-0.2776520066549197,0.04143980363799563,-1.5231662513215327,0,No Failure,298.0,0.0,308.2,0.0,1489.2,94.52354204112287,40.980000000000004,4.780376554205732,6.8,3.492849839314596,298.0,298.0,298.0,308.2,308.2,308.3,1514.0,1620.0,1662.0,37.9,35.8,32.7,9.0,5.0,0.0,60155.6,0
257,L47436,L,-0.9523894433829583,-1.149562544534041,-1.1589789296456174,2.3085960219407684,-1.491744888956595,0,No Failure,298.02000000000004,0.04472135955524217,308.22,0.04472135954007586,1462.2,118.93569691223875,45.06,11.072849678380017,9.0,3.1622776601683795,298.0,298.0,298.0,308.2,308.2,308.2,1489.0,1357.0,1466.0,40.4,48.2,42.6,11.0,7.0,2.0,83853.0,0
258,L47437,L,-1.0023854770106078,-1.3517652013507035,0.42517832433766206,-1.0520116467823681,-1.4603235265916574,0,No Failure,298.02000000000004,0.04472135955524217,308.18,0.1095445114967804,1461.2,117.28682790492682,43.8,12.637840005317372,11.0,3.1622776601683795,298.1,298.0,298.0,308.3,308.2,308.2,1331.0,1514.0,1620.0,63.0,37.9,35.8,13.0,9.0,5.0,47642.5,0
259,L47438,L,-0.9523894433829583,-1.216963430139608,-0.31669813615450754,-0.20935181343089515,-1.42890216422672,0,No Failure,298.04,0.05477225575462474,308.18,0.1095445114967804,1486.2,101.82681375747707,41.74,12.580659760123865,13.0,3.1622776601683795,298.0,298.0,298.0,308.0,308.2,308.2,1615.0,1489.0,1357.0,29.5,40.4,48.2,15.0,11.0,7.0,56167.799999999996,0
260,M15119,M,-0.9523894433829583,-1.216963430139608,-0.6625352831508573,2.398881004085569,-1.3974808018617824,1,Power Failure,298.06000000000006,0.05477225575444053,308.17999999999995,0.1095445114967804,1467.4,104.06392266294752,46.94,15.606184671469213,15.0,3.1622776601683795,298.1,298.1,298.0,308.2,308.3,308.2,1482.0,1331.0,1514.0,37.9,63.0,37.9,17.0,13.0,9.0,90738.0,1
261,M15120,M,-0.9023934097553371,-1.149562544534041,-0.09357739615686254,0.9141946310377358,-1.3503487583143758,0,No Failure,298.1,0.07071067812140219,308.2,0.12247448713545173,1474.0,106.7871715141848,48.68,15.173727294241216,17.2,3.4928498393145966,298.1,298.0,298.0,308.2,308.0,308.2,1420.0,1615.0,1489.0,63.9,29.5,40.4,19.0,15.0,11.0,74730.2,0
262,L47441,L,-0.9523894433829583,-1.216963430139608,0.6427210458353659,-0.7911883650307214,-1.3032167147669695,0,No Failure,298.1,0.07071067812140219,308.17999999999995,0.10954451149677684,1538.6,95.78517630614837,42.5,14.140721339450826,19.6,3.9749213828703582,298.2,298.1,298.1,308.3,308.2,308.3,1522.0,1482.0,1331.0,49.1,37.9,63.0,22.0,17.0,13.0,53093.4,0
263,M15122,M,-0.9523894433829583,-1.216963430139608,1.100118562830538,-1.32286659321677,-1.2717953524020318,0,No Failure,298.12,0.04472135955410378,308.21999999999997,0.04472135954014577,1562.8,129.32594480613673,41.96,14.79756736764526,22.0,4.123105625617661,298.1,298.1,298.0,308.2,308.2,308.0,1654.0,1420.0,1615.0,32.1,63.9,29.5,25.0,19.0,15.0,46524.8,0
264,M15123,M,-1.0023854770106078,-1.2843643157451365,0.2689938063393106,-0.7711250356652106,-1.2246633088546255,0,No Failure,298.1,0.07071067812140219,308.2,0.07071067811223021,1583.8,121.19488438048832,40.839999999999996,15.382067481323821,24.6,4.277849927241487,298.1,298.2,298.1,308.2,308.3,308.2,1736.0,1522.0,1482.0,26.8,49.1,37.9,27.0,22.0,17.0,51260.1,0
265,L47444,L,-0.9523894433829583,-1.216963430139608,-0.829875838149091,0.7536879961136456,-1.177531265307219,0,No Failure,298.1,0.07071067812140219,308.2,0.07071067811223021,1577.8,131.6252255458654,37.56,10.065187529301149,27.4,4.277849927241487,298.0,298.1,298.1,308.1,308.2,308.2,1587.0,1654.0,1420.0,32.3,32.1,63.9,30.0,25.0,19.0,66025.0,0
266,L47445,L,-1.0023854770106078,-1.2843643157451365,-0.472882654152859,-0.28960513089293993,-1.1461099029422814,0,No Failure,298.06000000000006,0.05477225575444053,308.15999999999997,0.054772255741722585,1564.2,141.94083274378778,35.16,7.801794665331755,30.0,4.123105625617661,298.1,298.1,298.2,308.2,308.2,308.3,1390.0,1736.0,1522.0,47.5,26.8,49.1,33.0,27.0,22.0,53943.4,0
267,H29680,H,-1.0023854770106078,-1.2843643157451365,-0.5509749131520348,0.3724847381689319,-1.114688540577344,0,No Failure,298.04,0.05477225575462474,308.14,0.05477225574146313,1521.4,140.34885108186648,37.480000000000004,8.368512412609505,32.4,3.9749213828703582,298.0,298.0,298.1,308.1,308.1,308.2,1454.0,1587.0,1654.0,37.1,32.3,32.1,35.0,30.0,25.0,62928.00000000001,0
268,L47447,L,-1.0523815106382575,-1.3517652013507035,2.3161265958177033,-1.894671480133841,-1.0361351346649998,0,No Failure,298.0,0.07071067812215082,308.1,0.07071067811122535,1565.0,229.33381782894546,36.339999999999996,10.34253353874181,35.4,4.505552130427525,298.0,298.1,298.1,308.1,308.2,308.2,1440.0,1390.0,1736.0,43.7,47.5,26.8,37.0,33.0,27.0,41229.4,0
269,H29682,H,-1.0523815106382575,-1.3517652013507035,1.4571117468267702,-1.5234998868718825,-1.0047137723000623,0,No Failure,297.97999999999996,0.08366600265650698,308.08000000000004,0.08366600264694037,1607.6,253.00355728724438,34.84,11.548506396932853,38.2,4.658325879540847,297.9,298.0,298.0,308.0,308.1,308.1,1954.0,1454.0,1587.0,21.1,37.1,32.3,42.0,35.0,30.0,44640.0,0
270,L47449,L,-1.0023854770106078,-1.3517652013507035,-0.08242135915698029,-0.29963679557569567,-0.9261603663877183,0,No Failure,297.96,0.054772255755454996,308.04,0.05477225574006987,1634.4,230.26680177567923,32.739999999999995,9.431489808084336,41.4,5.594640292279746,297.9,298.0,298.1,308.0,308.1,308.2,1800.0,1440.0,1390.0,24.8,43.7,47.5,44.0,37.0,33.0,56388.0,0
271,H29684,H,-1.0023854770106078,-1.3517652013507035,-0.10473343315674478,-0.03881351382404913,-0.8947390040227806,0,No Failure,297.96,0.054772255755454996,308.02,0.04472135953685452,1647.6,218.95387642149646,33.24,9.780235170996596,44.6,5.594640292279746,298.0,297.9,298.0,308.0,308.0,308.1,1524.0,1954.0,1454.0,37.0,21.1,37.1,49.0,42.0,35.0,60192.0,0
272,M15131,M,-0.9523894433829583,-1.2843643157451365,-0.4840386911527413,0.08156646236901802,-0.8161855981104366,0,No Failure,297.98,0.08366600265650698,308.02000000000004,0.04472135953685452,1650.0,216.15735009478615,32.66,9.064656639939468,48.4,5.594640292279746,298.0,297.9,298.0,308.0,308.0,308.1,1520.0,1800.0,1440.0,39.6,24.8,43.7,51.0,44.0,37.0,59241.6,0
273,L47452,L,-0.9523894433829583,-1.2843643157451365,-0.30554209915462527,0.04143980363799563,-0.7690535545630302,0,No Failure,298.02,0.08366600265623522,308.04,0.05477225574004976,1556.0,139.5134402127621,36.519999999999996,6.716546731766204,51.8,5.8906705900092575,298.1,298.0,297.9,308.1,308.0,308.0,1452.0,1524.0,1954.0,40.8,37.0,21.1,56.0,49.0,42.0,59953.6,0
274,L47453,L,-0.9523894433829583,-1.3517652013507035,-0.6290671721512106,0.6032130258723112,-0.7376321921980926,0,No Failure,298.06000000000006,0.05477225575444054,308.04,0.05477225574004976,1481.2,42.558195450464645,40.76,3.281463088318978,55.2,5.118593556827893,298.1,298.0,297.9,308.1,308.0,308.0,1484.0,1520.0,1800.0,40.4,39.6,24.8,59.0,51.0,44.0,65596.0,0
275,L47454,L,-0.9523894433829583,-1.3517652013507035,0.6315650088354837,-1.1523282936099244,-0.706210829833155,0,No Failure,298.08000000000004,0.04472135955458203,308.04,0.05477225574004976,1506.8,88.47146432607495,39.06,6.418566818223494,58.0,4.6904157598234315,298.1,298.1,298.0,308.0,308.1,308.0,1426.0,1452.0,1524.0,46.0,40.8,37.0,61.0,56.0,49.0,47082.0,0
276,L47455,L,-1.0023854770106078,-1.3517652013507035,-0.7685176346497387,1.4759678532720513,-0.6747894674682174,0,No Failure,298.08000000000004,0.04472135955458203,308.04,0.05477225574004976,1483.0,99.36800289831709,42.08,9.532942882447168,60.8,3.4928498393145984,298.1,298.1,298.0,308.0,308.1,308.0,1652.0,1484.0,1520.0,28.5,40.4,39.6,63.0,59.0,51.0,76634.7,0
277,M15136,M,-1.0023854770106078,-1.4191660869562706,1.178210821829714,-1.3429299225822813,-0.6433681051032798,0,No Failure,298.06000000000006,0.05477225575444054,308.0,0.07071067811015316,1542.6,151.7095909954277,39.24,11.844534604618271,63.0,3.1622776601683826,298.0,298.1,298.1,308.0,308.0,308.1,1401.0,1426.0,1452.0,54.7,46.0,40.8,65.0,61.0,56.0,46550.0,0
278,H29691,H,-1.0023854770106078,-1.3517652013507035,-0.3334321916543309,1.074701265961826,-0.5962360615558734,0,No Failure,298.04,0.05477225575462475,307.98,0.044721359536218995,1541.6,152.20808125720512,41.3,12.941599592013347,65.2,3.4928498393145984,298.0,298.1,298.1,307.9,308.0,308.1,1750.0,1652.0,1484.0,26.6,28.5,40.4,67.0,63.0,59.0,74985.3,0
279,M15138,M,-1.0023854770106078,-1.3517652013507035,0.4530684168373677,-1.0620433114651238,-0.5176826556435293,0,No Failure,298.02,0.04472135955525886,307.98,0.044721359536218995,1580.4,139.57542763681565,37.980000000000004,13.549428032208578,68.0,4.6904157598234315,298.0,298.0,298.1,308.0,308.0,308.0,1479.0,1401.0,1426.0,50.7,54.7,46.0,70.0,65.0,61.0,47628.0,0
280,L47459,L,-1.0023854770106078,-1.2843643157451365,1.5630940983256516,-1.6639431924304617,-0.470550612096123,0,No Failure,298.0,0.0,308.0,0.07071067811013257,1613.8,176.1751968921845,36.96,14.593251865160125,71.0,5.4313902456001095,298.0,298.0,298.1,308.0,307.9,308.0,1620.0,1750.0,1652.0,29.4,26.6,28.5,75.0,67.0,63.0,42564.6,0
281,M15140,M,-0.9523894433829583,-1.2843643157451365,-0.4617266171529768,0.3724847381689319,-0.4391292497311854,0,No Failure,298.02,0.04472135955525886,308.02000000000004,0.0836660026463565,1624.8,160.5948317972903,34.760000000000005,11.814948159005997,74.0,5.4313902456001095,298.0,298.0,298.0,308.1,308.0,308.0,1819.0,1479.0,1401.0,23.4,50.7,54.7,78.0,70.0,65.0,63627.200000000004,0
282,L47461,L,-0.9523894433829583,-1.3517652013507035,0.48653652783701445,-0.34979511898947385,-0.391997206183779,0,No Failure,298.04,0.05477225575462475,308.04,0.054772255739949885,1600.0,145.2704374606202,36.739999999999995,10.89967889435278,77.2,4.969909455915672,298.1,298.0,298.0,308.1,308.0,307.9,1456.0,1620.0,1750.0,43.7,29.4,26.6,80.0,75.0,67.0,59349.0,0
283,M15142,M,-0.9523894433829583,-1.2843643157451365,-0.829875838149091,0.9844162838170248,-0.36057584381884134,0,No Failure,298.06000000000006,0.05477225575444054,308.06,0.05477225574018079,1582.2,167.5476051753649,36.56,10.615224915186648,80.2,3.96232255123179,298.1,298.0,298.0,308.0,308.1,308.0,1626.0,1819.0,1479.0,36.5,23.4,50.7,83.0,78.0,70.0,69222.0,0
284,L47463,L,-0.9023934097553371,-1.216963430139608,-0.38921237665374214,0.3022630853896422,-0.313443800271435,0,No Failure,298.1,0.0707106781214022,308.1,0.07071067811099976,1552.0,172.56448070214208,39.28,10.049228826133861,82.8,3.96232255123179,298.1,298.1,298.0,308.1,308.1,308.0,1390.0,1456.0,1620.0,49.8,43.7,29.4,85.0,80.0,75.0,63167.0,0
285,L47464,L,-0.9023934097553371,-1.149562544534041,2.8571943903119927,-2.0852731091061982,-0.28202243790649734,0,No Failure,298.14,0.05477225575368747,308.14,0.11401754250537925,1598.4,267.423446989975,38.44,11.741507569302998,85.2,3.96232255123179,298.2,298.1,298.0,308.2,308.0,308.1,1469.0,1626.0,1819.0,43.0,36.5,23.4,88.0,83.0,78.0,39379.2,0
286,L47465,L,-0.9023934097553371,-1.149562544534041,0.1630114548404292,-0.399953442403252,-0.25060107554155975,0,No Failure,298.15999999999997,0.05477225575351494,308.18,0.1303840481002701,1620.8,257.0013618640959,36.9,11.378488476067432,87.6,3.646916505762094,298.2,298.1,298.1,308.3,308.1,308.1,2051.0,1390.0,1456.0,19.2,49.8,43.7,90.0,85.0,80.0,56448.0,0
287,L47466,L,-0.9023934097553371,-1.149562544534041,0.28014984333919285,-0.6808400535204094,-0.21917971317662216,0,No Failure,298.18,0.044721359553469855,308.24,0.08944271909484987,1613.4,257.34665336856426,36.239999999999995,11.502521462705438,89.8,3.492849839314598,298.2,298.2,298.1,308.3,308.2,308.0,1568.0,1469.0,1626.0,36.0,43.0,36.5,92.0,88.0,83.0,52754.8,0
288,L47467,L,-0.9023934097553371,-1.149562544534041,1.485001839326476,-0.8413466884444997,-0.18775835081168454,0,No Failure,298.2,0.0,308.28000000000003,0.04472135954024985,1696.4,233.059649017156,32.6,8.669486720677227,92.0,3.162277660168382,298.2,298.2,298.1,308.3,308.3,308.1,1589.0,2051.0,1390.0,33.2,19.2,49.8,94.0,90.0,85.0,57038.0,0
289,H29702,H,-0.9023934097553371,-1.0821616589285121,-0.8577659306487967,0.2220097679275974,-0.15633698844674693,0,No Failure,298.2,0.0,308.32,0.04472135954078687,1679.6,255.4971624108572,32.44,8.433741755590978,94.0,3.162277660168382,298.2,298.2,298.2,308.3,308.3,308.2,1805.0,1568.0,1469.0,31.6,36.0,43.0,96.0,92.0,88.0,58447.00000000001,0
290,L47469,L,-0.9523894433829583,-1.0821616589285121,-0.5732869871517993,0.6734346786516008,-0.07778358253440293,0,No Failure,298.18,0.04472135955344125,308.34000000000003,0.05477225574322938,1556.6,163.45733388257597,37.940000000000005,6.35043305609937,96.6,4.219004621945801,298.2,298.2,298.2,308.4,308.3,308.3,1385.0,1589.0,2051.0,42.2,33.2,19.2,98.0,94.0,90.0,67061.2,0
291,L47470,L,-0.9523894433829583,-1.0821616589285121,-0.562130950151917,0.5630863671412888,-0.046362220169465326,0,No Failure,298.15999999999997,0.05477225575345786,308.36,0.05477225574347197,1530.6,171.33972102230095,39.86,7.031927189611669,99.2,4.6583258795408495,298.1,298.2,298.2,308.4,308.3,308.3,1436.0,1805.0,1568.0,46.7,31.6,36.0,103.0,96.0,92.0,65572.8,0
292,L47471,L,-1.0023854770106078,-1.149562544534041,-0.36690030265397766,0.2621364266586198,-0.014940857804527726,0,No Failure,298.12,0.08366600265551208,308.36,0.05477225574347197,1507.4,169.2964854921682,41.74,5.9848141157432915,101.8,4.6583258795408495,298.1,298.2,298.2,308.4,308.4,308.3,1438.0,1385.0,1589.0,45.6,42.2,33.2,105.0,98.0,94.0,62749.8,0
293,L47472,L,-0.9523894433829583,-1.0821616589285121,-1.1366668556458528,0.021376474272484798,0.016480504560409875,0,No Failure,298.1,0.07071067812125097,308.38,0.0447213595416782,1413.4,53.90083487293979,43.46,2.6472627372439623,104.4,4.219004621945801,298.0,298.1,298.2,308.3,308.4,308.3,1473.0,1436.0,1805.0,42.6,46.7,31.6,107.0,103.0,96.0,53667.00000000001,0
294,H29707,H,-0.9523894433829583,-1.0147607733229451,-0.8187198011492087,0.4828330496792433,0.04790186692534748,0,No Failure,298.08000000000004,0.04472135955428174,308.4,0.07071067811358527,1414.8,53.063169901542075,43.980000000000004,2.592682009040149,107.0,3.1622776601683817,298.1,298.1,298.2,308.4,308.4,308.4,1335.0,1438.0,1385.0,40.2,45.6,42.2,109.0,105.0,98.0,62361.6,0
295,M15154,M,-0.9523894433829583,-1.0147607733229451,-0.9302801711480313,1.1148279246928485,0.12645527283769148,0,No Failure,298.08000000000004,0.04472135955428174,308.41999999999996,0.08366600264927457,1402.0,54.37370688117485,44.86,4.071609018557722,109.6,4.219004621945801,298.1,298.0,298.1,308.5,308.3,308.4,1392.0,1473.0,1436.0,44.8,42.6,46.7,111.0,107.0,103.0,70109.2,0
296,M15155,M,-0.9523894433829583,-0.9473598877173782,0.9885581928317156,-0.9316316705893005,0.1735873163850979,0,No Failure,298.08000000000004,0.04472135955428174,308.46,0.1140175425071002,1457.6,153.02712177911445,41.88,7.447617068566309,112.4,4.979959839195495,298.1,298.1,298.1,308.5,308.4,308.4,1372.0,1335.0,1438.0,51.1,40.2,45.6,116.0,109.0,105.0,52681.2,0
297,L47476,L,-1.0023854770106078,-1.0147607733229451,-0.8019857456493854,0.6232763552378227,0.2207193599325043,0,No Failure,298.08000000000004,0.04472135955428174,308.5,0.07071067811445397,1442.0,155.0274169300383,42.6,7.704219623037775,115.4,5.412947441089743,298.1,298.1,298.0,308.6,308.5,308.3,1716.0,1392.0,1473.0,30.7,44.8,42.6,119.0,111.0,107.0,64449.00000000001,0
298,L47477,L,-1.0023854770106078,-1.0147607733229451,0.9718241373318923,-1.4733415634581044,0.2521407222974419,0,No Failure,298.06000000000006,0.05477225575415189,308.52000000000004,0.04472135954359751,1517.6,179.96471876453987,39.62,11.028916537901624,118.4,5.128352561983232,298.0,298.1,298.1,308.5,308.5,308.4,1395.0,1372.0,1335.0,46.2,51.1,40.2,122.0,116.0,109.0,43338.9,0
